customer_id,email,signup_date,loyalty_level,region,phone,customer_name
1,john.smith@example.com,2022-05-15,Gold,East,555-123-4567,John Smith
2,jane.doe@example.com,2022-06-20,Silver,West,555-234-5678,Jane Doe
3,robert.j@example.com,2022-07-10,Bronze,North,555-345-6789,Robert Johnson
4,lisa.brown@example.com,2022-08-05,Silver,South,555-456-7890,Lisa Brown
5,mike.w@example.com,2022-09-12,Bronze,East,555-567-8901,Michael Wilson
6,emma.g@example.com,2022-10-18,Gold,West,555-678-9012,Emma Garcia
7,will.m@example.com,2022-11-24,Silver,North,555-789-0123,William Martinez
8,olivia.a@example.com,2022-12-01,Bronze,South,555-890-1234,Olivia Anderson
9,james.t@example.com,2023-01-07,Silver,East,555-901-2345,James Thomas
10,sophia.j@example.com,2023-01-15,Gold,West,555-012-3456,Sophia Jackson
